Dataset,Model,feature,importance,Rank
airfoil_self_noise,Rf,f,0.34030897471715704,1
airfoil_self_noise,Rf,f_delta,0.3365353755317628,2
airfoil_self_noise,Rf,delta_squared,0.06725442543992646,3
airfoil_self_noise,Rf,alpha_delta_pc1,0.06403601284523623,4
airfoil_self_noise,Rf,U_infinity,0.058758432021792685,5
airfoil_self_noise,Rf,c_0.1016,0.034334428495109294,6
airfoil_self_noise,Rf,c_0.0254,0.03240495798929819,7
airfoil_self_noise,Rf,alpha_squared,0.029093820465715882,8
airfoil_self_noise,Rf,c_0.0508,0.013996874656862036,9
airfoil_self_noise,Rf,c_0.1524,0.01049888896583903,10
airfoil_self_noise,Rf,c_0.2286,0.007347444252937033,11
airfoil_self_noise,Rf,c_0.3048,0.00543036461836339,12
airfoil_self_noise,Xgb,c_0.0254,0.5370414853096008,1
airfoil_self_noise,Xgb,c_0.1016,0.11313772946596146,2
airfoil_self_noise,Xgb,f,0.0837603509426117,3
airfoil_self_noise,Xgb,alpha_squared,0.04080427810549736,4
airfoil_self_noise,Xgb,c_0.0508,0.04038511589169502,5
airfoil_self_noise,Xgb,c_0.3048,0.03999420627951622,6
airfoil_self_noise,Xgb,f_delta,0.03723748028278351,7
airfoil_self_noise,Xgb,delta_squared,0.03154778480529785,8
airfoil_self_noise,Xgb,alpha_delta_pc1,0.03039557859301567,9
airfoil_self_noise,Xgb,U_infinity,0.021258216351270676,10
airfoil_self_noise,Xgb,c_0.1524,0.013013934716582298,11
airfoil_self_noise,Xgb,c_0.2286,0.01142387930303812,12
regression,Rf,feature_8,0.3238710235177992,1
regression,Rf,feature_3,0.21216919221127825,2
regression,Rf,feature_4,0.21158823991351577,3
regression,Rf,feature_7,0.16598321373021696,4
regression,Rf,feature_5,0.034136068250754464,5
regression,Rf,feature_0,0.013670551890914106,6
regression,Rf,feature_2,0.013483172163733187,7
regression,Rf,feature_6,0.013387024466976155,8
regression,Rf,feature_1,0.011711513854811912,9
regression,Xgb,feature_8,0.28488773107528687,1
regression,Xgb,feature_7,0.2172529399394989,2
regression,Xgb,feature_3,0.20642979443073273,3
regression,Xgb,feature_4,0.20124584436416626,4
regression,Xgb,feature_5,0.063653364777565,5
regression,Xgb,feature_2,0.012578144669532776,6
regression,Xgb,feature_6,0.005488985683768988,7
regression,Xgb,feature_0,0.005401036702096462,8
regression,Xgb,feature_1,0.003062204923480749,9
